 typeid |                            typename                            | typeclass |    size    | published | marketgroup | groupid | raceid 
  22317 | Nanom Basskel's Ship Logs                                      |           |        1.1 |           |             |         |       
  32103 | Low-grade Grail Delta                                          |           |          1 |         1 |         621 |     300 |       
  32104 | Low-grade Grail Epsilon                                        |           |          1 |         1 |         622 |     300 |       
  32105 | Low-grade Grail Gamma                                          |           |          1 |         1 |         620 |     300 |       
  32122 | Low-grade Grail Omega                                          |           |          1 |         1 |        1151 |     300 |       
  32226 | Territorial Claim Unit                                         |           |       5000 |         1 |        1273 |    1003 |       
  32250 | Sovereignty Blockade Unit                                      |           |       2500 |         1 |        1274 |    1005 |       
  32422 | Advanced Logistics Network                                     |           |     400000 |         1 |        1282 |    1016 |       
  32435 | Citadel Cruise Missiles                                        |           |       0.01 |         1 |         373 |     256 |       
  21841 | Gallente Mining Laser                                          |           |        1.1 |           |             |         |       
  14021 | Dark Blood Reflective Plating                                  |           |        1.1 |           |             |         |       
  14015 | Dark Blood Reactive Plating                                    |           |        1.1 |           |             |         |       
  32436 | Rajas Citadel Cruise Missile                                   |           |        0.3 |         1 |        1287 |    1019 |       
  14019 | True Sansha Reflective Plating                                 |           |        1.1 |           |             |         |       
  14025 | True Sansha Thermic Plating                                    |           |        1.1 |           |             |         |       
  14063 | Shadow Serpentis Armor Kinetic Hardener                        |           |        1.1 |           |             |         |       
  19621 | Perimeter Descramble Code                                      |           |        1.1 |           |             |         |       
  11068 | Special Delivery                                               |           |        1.1 |           |             |         |       
  13972 | Dark Blood Armor EM Hardener                                   |           |        1.1 |           |             |         |       
  32437 | Rajas Citadel Cruise Missile Blueprint                         |           |       0.01 |         1 |        1286 |     166 |       
    443 | Ship Scanner I                                                 |           |          5 |         1 |         713 |      48 |       
  31027 | Small Anti-Kinetic Pump II                                     |           |       0.01 |         1 |        1206 |     773 |       
    582 | Bantam                                                         |           |      20000 |         1 |          61 |      25 |       
    593 | Tristan                                                        |           |      26500 |         1 |          77 |      25 |       
    594 | Incursus                                                       |           |      29500 |         1 |          77 |      25 |       
     43 | Antibiotics                                                    |           |        0.2 |         1 |         492 |     280 |       
   1038 | Micro Shield Transporter I Blueprint                           |           |       0.01 |         1 |         328 |     121 |       
   1054 | Basic Capacitor Recharger Blueprint                            |           |       0.01 |         1 |         327 |     123 |       
   1082 | Basic Capacitor Power Relay Blueprint                          |           |       0.01 |         1 |         327 |     137 |       
   1085 | Basic Capacitor Flux Coil Blueprint                            |           |       0.01 |         1 |         327 |     137 |       
   1094 | Basic Gyrostabilizer Blueprint                                 |           |       0.01 |         1 |         343 |     139 |       
   1097 | Basic Damage Control Blueprint                                 |           |       0.01 |         1 |         333 |     140 |       
   1098 | Micro Capacitor Battery I Blueprint                            |           |       0.01 |         1 |         327 |     141 |       
   1203 | Basic Reflective Plating Blueprint                             |           |       0.01 |         1 |         333 |     163 |       
   1211 | Basic Overdrive Injector System Blueprint                      |           |       0.01 |         1 |         332 |     158 |       
   1095 | Gyrostabilizer II Blueprint                                    |           |       0.01 |         1 |         343 |     139 |       
   1105 | Small Energy Transfer Array I Blueprint                        |           |       0.01 |         1 |         329 |     147 |       
   1241 | Basic Reinforced Bulkheads Blueprint                           |           |       0.01 |         1 |         335 |     158 |       
   1243 | Basic Nanofiber Internal Structure Blueprint                   |           |       0.01 |         1 |         335 |     158 |       
   1263 | Basic Reactive Plating Blueprint                               |           |       0.01 |         1 |         333 |     163 |       
   1273 | Basic Regenerative Plating Blueprint                           |           |       0.01 |         1 |         333 |     163 |       
   1283 | Basic Magnetic Plating Blueprint                               |           |       0.01 |         1 |         333 |     163 |       
   1293 | Basic Thermic Plating Blueprint                                |           |       0.01 |         1 |         333 |     163 |       
   1303 | Basic Adaptive Nano Plating Blueprint                          |           |       0.01 |         1 |         333 |     163 |       
   1316 | Basic Expanded Cargohold Blueprint                             |           |       0.01 |         1 |         335 |     158 |       
   1352 | Basic Reactor Control Unit Blueprint                           |           |       0.01 |         1 |         327 |     137 |       
   1402 | Basic Inertia Stabilizers Blueprint                            |           |       0.01 |         1 |         332 |     158 |       
   1538 | Basic Power Diagnostic System Blueprint                        |           |       0.01 |         1 |         327 |     137 |       
   1799 | Basic Magnetic Scattering Amplifier Blueprint                  |           |       0.01 |         1 |         326 |     296 |       
   1801 | Basic Heat Dissipation Amplifier Blueprint                     |           |       0.01 |         1 |         326 |     296 |       
   1803 | Basic Kinetic Deflection Amplifier Blueprint                   |           |       0.01 |         1 |         326 |     296 |       
   1805 | Basic Explosion Dampening Amplifier Blueprint                  |           |       0.01 |         1 |         326 |     296 |       
   1221 | Juggernaut Torpedo Blueprint                                   |           |       0.01 |         1 |         390 |     166 |       
   1224 | Pyroxeres                                                      |           |        0.3 |         1 |         515 |     459 |       
   1225 | Crokite                                                        |           |         16 |         1 |         521 |     452 |       
   1307 | Adaptive Nano Plating II Blueprint                             |           |       0.01 |         1 |         333 |     163 |       
    620 | Osprey                                                         |           |     107000 |         1 |          75 |      26 |       
   1823 | Eradicator F.O.F. Heavy Missile I Blueprint                    |           |       0.01 |         1 |         315 |     166 |       
   1824 | Hellhound F.O.F. Heavy Missile I                               |           |       0.03 |         1 |         914 |     395 |       
   3392 | Mechanic                                                       |           |       0.01 |         1 |         372 |     269 |       
   2410 | Heavy Missile Launcher II                                      |           |         10 |         1 |         642 |     510 |       
   2411 | Heavy Missile Launcher II Blueprint                            |           |       0.01 |         1 |         340 |     136 |       
   2921 | 650mm Artillery Cannon II                                      |           |         10 |         1 |         578 |      55 |       
   2922 | 650mm Artillery Cannon II Blueprint                            |           |       0.01 |         1 |         297 |     135 |       
   2929 | 800mm Repeating Artillery II                                   |           |         20 |         1 |         576 |      55 |       
   3557 | Micro Capacitor Booster I Blueprint                            |           |       0.01 |         1 |         329 |     156 |       
    570 | 250mm Railgun I                                                |           |         25 |         1 |         565 |      74 |       
  31073 | Medium Remote Repair Augmentor I                               |           |       0.01 |         1 |        1207 |     773 |       
   3034 | Medium Beam Laser II Blueprint                                 |           |       0.01 |         1 |         292 |     133 |       
   3850 | Micro Shield Extender I Blueprint                              |           |       0.01 |         1 |         326 |     118 |       
   3852 | Micro Shield Extender II Blueprint                             |           |       0.01 |         1 |         326 |     118 |       
   3898 | Micro Proton Smartbomb I Blueprint                             |           |       0.01 |         1 |         341 |     152 |       
   3900 | Micro Proton Smartbomb II Blueprint                            |           |       0.01 |         1 |         341 |     152 |       
   3902 | Micro Graviton Smartbomb I Blueprint                           |           |       0.01 |         1 |         341 |     152 |       
   3904 | Micro Graviton Smartbomb II Blueprint                          |           |       0.01 |         1 |         341 |     152 |       
   3908 | Micro Plasma Smartbomb I Blueprint                             |           |       0.01 |         1 |         341 |     152 |       
   3910 | Micro Plasma Smartbomb II Blueprint                            |           |       0.01 |         1 |         341 |     152 |       
   3914 | Micro EMP Smartbomb I Blueprint                                |           |       0.01 |         1 |         341 |     152 |       
   3916 | Micro EMP Smartbomb II Blueprint                               |           |       0.01 |         1 |         341 |     152 |       
  32438 | Catastrophe Citadel Cruise Missile                             |           |        0.3 |         1 |        1287 |    1019 |       
  32439 | Catastrophe Citadel Cruise Missile Blueprint                   |           |       0.01 |         1 |        1286 |     166 |       
  31614 | Small Rocket Fuel Cache Partition II                           |           |       0.01 |         1 |        1231 |     779 |       
  32440 | Sol Citadel Cruise Missile                                     |           |        0.3 |         1 |        1287 |    1019 |       
   3321 | Standard Missiles                                              |           |       0.01 |         1 |         373 |     256 |       
   3322 | FoF Missiles                                                   |           |       0.01 |         1 |         373 |     256 |       
   3323 | Defender Missiles                                              |           |       0.01 |         1 |         373 |     256 |       
  32441 | Sol Citadel Cruise Missile Blueprint                           |           |       0.01 |         1 |        1286 |     166 |       
  31606 | Medium Hydraulic Bay Thrusters II                              |           |       0.01 |         1 |        1232 |     779 |       
   1106 | Small Nosferatu I Blueprint                                    |           |       0.01 |         1 |         329 |     148 |       
   1197 | Reflective Plating I                                           |           |          5 |         1 |         540 |      98 |       
   1198 | Reflective Plating II                                          |           |          5 |         1 |         540 |      98 |       
   5725 | Medium 'Desire' Hull Reconstructor II                          |           |         10 |         1 |         538 |      63 |       
   3725 | Livestock                                                      |           |          1 |         1 |          23 |     283 |       
   3727 | Plutonium                                                      |           |          1 |         1 |          22 |     282 |       
   3729 | Toxic Waste                                                    |           |          1 |         1 |          22 |     282 |       
   3731 | Megacorp Management                                            |           |       0.01 |         1 |         365 |     266 |       
   3732 | Empire Control                                                 |           |       0.01 |         1 |         365 |     266 |       
   3767 | Vigil Blueprint                                                |           |       0.01 |         1 |         264 |     105 |       
  31029 | Medium Anti-Kinetic Pump II                                    |           |       0.01 |         1 |        1207 |     773 |       
  32442 | Thunar Citadel Cruise Missile                                  |           |        0.3 |         1 |        1287 |    1019 |       
   1825 | Hellhound F.O.F. Heavy Missile I Blueprint                     |           |       0.01 |         1 |         315 |     166 |       
  32443 | Thunar Citadel Cruise Missile Blueprint                        |           |       0.01 |         1 |        1286 |     166 |       
   1944 | Bestower                                                       |           |     260000 |         1 |          85 |      28 |       
   2937 | Dual 180mm AutoCannon II                                       |           |         10 |         1 |         575 |      55 |       
   4961 | Micro Tapered Capacitor Infusion I                             |           |        2.5 |         1 |         698 |      76 |       
   3436 | Drones                                                         |           |       0.01 |         1 |         366 |     273 |       
   3437 | Scout Drone Operation                                          |           |       0.01 |         1 |         366 |     273 |       
   3438 | Mining Drone Operation                                         |           |       0.01 |         1 |         366 |     273 |       
  23129 | Yan Jung Paradox Box                                           |           |        0.1 |         1 |         908 |     528 |       
   3818 | Exile                                                          |           |          1 |         1 |         491 |     313 |       
   3820 | Sooth Sayer                                                    |           |          1 |         1 |         491 |     313 |       
   3822 | Frentix                                                        |           |        0.2 |         1 |         491 |     313 |       
   3824 | Crystal Egg                                                    |           |        0.5 |         1 |         491 |     313 |       
   3826 | Mindflood                                                      |           |        0.2 |         1 |         491 |     313 |       
   3828 | Construction Blocks                                            |           |          4 |         1 |          20 |     280 |       
   3829 | Medium Shield Extender I                                       |           |         10 |         1 |         606 |      38 |       
   5755 | Large 'Hope' Hull Reconstructor I                              |           |         50 |         1 |        1055 |      63 |       
  32444 | Citadel Cruise Launcher I                                      |           |       4000 |         1 |         777 |     524 |       
  32445 | Citadel Cruise Launcher I Blueprint                            |           |       0.01 |         1 |         340 |     136 |       
   6717 | Medium Afocal Maser I                                          |           |          5 |         1 |         567 |      53 |       
  10189 | Basic Magnetic Field Stabilizer Blueprint                      |           |       0.01 |         1 |         343 |     139 |       
   7289 | 150mm 'Scout' I Accelerator Cannon                             |           |          5 |         1 |         564 |      74 |       
  32458 | Infrastructure Hub                                             |           |     750000 |         1 |        1275 |    1012 |       
  31955 | Grail Beta                                                     |           |          1 |         1 |         619 |     300 |       
  31956 | Grail Delta                                                    |           |          1 |         1 |         621 |     300 |       
  31957 | Grail Epsilon                                                  |           |          1 |         1 |         622 |     300 |       
  31958 | Grail Gamma                                                    |           |          1 |         1 |         620 |     300 |       
  31959 | Grail Omega                                                    |           |          1 |         1 |        1151 |     300 |       
  31975 | Jackal Beta                                                    |           |          1 |         1 |         619 |     300 |       
  31976 | Jackal Delta                                                   |           |          1 |         1 |         621 |     300 |       
  11398 | Deep Core Mining Laser II Blueprint                            |           |       0.01 |         1 |         338 |     134 |       
  31977 | Jackal Epsilon                                                 |           |          1 |         1 |         622 |     300 |       
  14090 | True Sansha Energized Reflective Membrane                      |           |        0.1 |           |             |         |       
  14013 | True Sansha Reactive Plating                                   |           |        0.1 |           |             |         |       
  13970 | True Sansha Armor EM Hardener                                  |           |        0.1 |           |             |         |       
  14001 | True Sansha Adaptive Nano Plating                              |           |        0.1 |           |             |         |       
  12465 | Guristas Ship Log 534987422                                    |           |        0.1 |           |             |         |       
  12450 | Serpentis Ship Log 303248612                                   |           |        0.1 |           |             |         |       
  12449 | Serpentis Ship Log 381038422                                   |           |        0.1 |           |             |         |       
  12467 | Sansha Ship Log 104398459                                      |           |        0.1 |           |             |         |       
  31978 | Jackal Gamma                                                   |           |          1 |         1 |         620 |     300 |       
  12013 | Broadsword                                                     |           |      96000 |         1 |        1074 |     894 |       
  31979 | Jackal Omega                                                   |           |          1 |         1 |        1151 |     300 |       
  31982 | Navy Cap Booster 100                                           |           |          3 |         1 |         139 |      87 |       
  31990 | Navy Cap Booster 150                                           |           |        4.5 |         1 |         139 |      87 |       
  31998 | Navy Cap Booster 200                                           |           |          6 |         1 |         139 |      87 |       
  32006 | Navy Cap Booster 400                                           |           |         12 |         1 |         139 |      87 |       
  32014 | Navy Cap Booster 800                                           |           |         24 |         1 |         139 |      87 |       
  32029 | Small Drone Control Range Augmentor II                         |           |          5 |         1 |        1213 |     778 |       
  32033 | Small Drone Durability Enhancer I                              |           |       0.01 |         1 |        1213 |     778 |       
  32034 | Small Drone Durability Enhancer I Blueprint                    |           |       0.01 |         1 |        1243 |     787 |       
  32037 | Small Drone Durability Enhancer II                             |           |          5 |         1 |        1213 |     778 |       
  32042 | Small Drone Mining Augmentor I Blueprint                       |           |       0.01 |         1 |        1243 |     787 |       
  32045 | Small Drone Mining Augmentor II                                |           |          5 |         1 |        1213 |     778 |       
   5319 | F-392 Baker Nunn Tracking Disruptor I                          |           |          5 |         1 |         680 |     291 |       
   6244 | F-43 Repetitive Gravimetric Backup Sensors                     |           |          5 |         1 |         720 |     203 |       
   1208 | Auto Targeting System I Blueprint                              |           |       0.01 |         1 |         324 |     162 |       
  32050 | Small Drone Repair Augmentor I Blueprint                       |           |       0.01 |         1 |        1243 |     787 |       
  32052 | Medium Drone Repair Augmentor I Blueprint                      |           |       0.01 |         1 |        1244 |     787 |       
  32053 | Small Drone Repair Augmentor II                                |           |          5 |         1 |        1213 |     778 |       
  32058 | Small Drone Speed Augmentor I Blueprint                        |           |       0.01 |         1 |        1243 |     787 |       
  32060 | Medium Drone Speed Augmentor I Blueprint                       |           |       0.01 |         1 |        1244 |     787 |       
  16652 | Promethium                                                     |           |          1 |         1 |         501 |     427 |       
  32061 | Small Drone Speed Augmentor II                                 |           |          5 |         1 |        1213 |     778 |       
  32070 | Small Drone Scope Chip I Blueprint                             |           |       0.01 |         1 |        1243 |     787 |       
  32073 | Small Drone Scope Chip II                                      |           |          5 |         1 |        1213 |     778 |       
  16217 | Small Auxiliary Power Array                                    |           |        100 |         1 |         933 |     414 |       
  12017 | Devoter                                                        |           |     118000 |         1 |        1071 |     894 |       
   2333 | Survey Scanner II                                              |           |          5 |         1 |         714 |      49 |       
   3398 | Battleship Construction                                        |           |       0.01 |         1 |         372 |     269 |       
  11995 | Onyx                                                           |           |      92000 |         1 |        1072 |     894 |       
  12201 | Small Artillery Specialization                                 |           |       0.01 |         1 |         364 |     255 |       
  12208 | Medium Autocannon Specialization                               |           |       0.01 |         1 |         364 |     255 |       
  12209 | Large Autocannon Specialization                                |           |       0.01 |         1 |         364 |     255 |       
  12210 | Small Blaster Specialization                                   |           |       0.01 |         1 |         364 |     255 |       
  12263 | Heavy Nosferatu II                                             |           |          5 |         1 |         694 |      68 |       
   1226 | Jaspet                                                         |           |          2 |         1 |         529 |     456 |       
   2203 | Acolyte I                                                      |           |          5 |         1 |         837 |     100 |       
   2204 | Acolyte I Blueprint                                            |           |       0.01 |         1 |         359 |     176 |       
  12541 | Serpentis Crystal Tag                                          |           |        0.1 |         1 |         747 |     370 |       
  31119 | Medium Cargohold Optimization I                                |           |       0.01 |         1 |        1211 |     782 |       
  31638 | Small Warhead Flare Catalyst II                                |           |       0.01 |         1 |        1231 |     779 |       
   3244 | Warp Disruptor II                                              |           |          5 |         1 |         682 |      52 |       
   3285 | Quad Light Beam Laser II                                       |           |         10 |         1 |         568 |      53 |       
  31628 | Medium Warhead Calefaction Catalyst II                         |           |       0.01 |         1 |        1232 |     779 |       
  12771 | Tremor M                                                       |           |      0.025 |         1 |         855 |     376 |       
  13216 | Hardwiring - Zainou 'Gypsy' KMB-50                             |           |          1 |         1 |        1153 |     740 |       
  13226 | Hardwiring - Zainou 'Snapshot' ZMU1000                         |           |          1 |         1 |        1156 |     746 |       
  13229 | Hardwiring - Zainou 'Snapshot' ZMH1000                         |           |          1 |         1 |        1164 |     746 |       
  13230 | Hardwiring - Zainou 'Snapshot' ZMR1000                         |           |          1 |         1 |        1181 |     746 |       
  13231 | Hardwiring - Zainou 'Snapshot' ZMT1000                         |           |          1 |         1 |        1156 |     746 |       
  13232 | Hardwiring - Zainou 'Gypsy' KOB-50                             |           |          1 |         1 |        1179 |     740 |       
  13236 | Hardwiring - Zainou 'Gypsy' KSB-50                             |           |          1 |         1 |        1179 |     740 |       
  31041 | Medium Anti-Thermic Pump II                                    |           |       0.01 |         1 |        1207 |     773 |       
   3683 | Oxygen                                                         |           |          1 |         1 |          20 |     280 |       
  13239 | Hardwiring - Eifyr and Co. 'Rogue' EY-1                        |           |          1 |         1 |        1157 |     747 |       
  13249 | Hardwiring - Zainou 'Deadeye' ZMM100                           |           |          1 |         1 |        1189 |     746 |       
  13250 | Hardwiring - Zainou 'Deadeye' ZMS100                           |           |          1 |         1 |        1181 |     746 |       
  32055 | Medium Drone Repair Augmentor II                               |           |       0.01 |         1 |        1214 |     778 |       
  31197 | Medium Warp Core Optimizer II                                  |           |       0.01 |         1 |        1211 |     782 |       
  32081 | Small Sentry Damage Augmentor I                                |           |       0.01 |         1 |        1213 |     778 |       
   5757 | Large Automated Structural Restoration                         |           |         50 |         1 |        1055 |      63 |       
   7583 | Regulated Light Neutron Phase Cannon I                         |           |          5 |         1 |         561 |      74 |       
  32082 | Small Sentry Damage Augmentor I Blueprint                      |           |       0.01 |         1 |        1243 |     787 |       
  32085 | Small Sentry Damage Augmentor II                               |           |          5 |         1 |        1213 |     778 |       
  32090 | Small Stasis Drone Augmentor I Blueprint                       |           |       0.01 |         1 |        1243 |     787 |       
   8297 | Mark I Generator Refitting: Shield Flux                        |           |          5 |         1 |         687 |     770 |       
   8323 | Partial Power Plant Manager: Shield Flux                       |           |          5 |         1 |         687 |     770 |       
  32093 | Small Stasis Drone Augmentor II                                |           |          5 |         1 |        1213 |     778 |       
  16069 | Remote Armor Repair Systems                                    |           |       0.01 |         1 |         372 |     269 |       
  32095 | Medium Stasis Drone Augmentor II                               |           |         10 |         1 |        1214 |     778 |       
  31695 | Medium Projectile Locus Coordinator I Blueprint                |           |       0.01 |         1 |        1265 |     787 |       
  31707 | Medium Projectile Metastasis Adjuster I Blueprint              |           |       0.01 |         1 |        1265 |     787 |       
  15642 | Ammatar Navy Sergeant Elite Insignia                           |           |        0.1 |         1 |         731 |     409 |       
  16279 | Ice Harvester I Blueprint                                      |           |       0.01 |         1 |         338 |     490 |       
  16373 | Radioisotope Kinetic Hardener I                                |           |          5 |         1 |         535 |     328 |       
  16375 | N-Type Kinetic Hardener I                                      |           |          5 |         1 |         535 |     328 |       
  16377 | Voltaic Nanite Thermic Hardener I                              |           |          5 |         1 |         535 |     328 |       
  16379 | Microcell Nanite Thermic Hardener I                            |           |          5 |         1 |         535 |     328 |       
  16435 | Small Coaxial Regenerative Projector                           |           |          5 |         1 |        1059 |     325 |       
  13233 | Hardwiring - Zainou 'Gypsy' KPB-50                             |           |          1 |         1 |        1169 |     740 |       
  13235 | Hardwiring - Zainou 'Gypsy' KRB-50                             |           |          1 |         1 |        1179 |     740 |       
  16491 | Medium Murky Energy Transmitter I                              |           |          5 |         1 |         696 |      67 |       
  31716 | Small Anti-EM Screen Reinforcer I                              |           |       0.01 |         1 |        1234 |     774 |       
  16653 | Thulium                                                        |           |          1 |         1 |         501 |     427 |       
  16654 | Titanium Chromide                                              |           |          1 |         1 |         500 |     428 |       
  16655 | Crystallite Alloy                                              |           |          1 |         1 |         500 |     428 |       
  16664 | Solerium                                                       |           |          1 |         1 |         500 |     428 |       
  16665 | Hexite                                                         |           |          1 |         1 |         500 |     428 |       
  16666 | Hyperflurite                                                   |           |          1 |         1 |         500 |     428 |       
  16667 | Neo Mercurite                                                  |           |          1 |         1 |         500 |     428 |       
  16668 | Dysporite                                                      |           |          1 |         1 |         500 |     428 |       
  16669 | Ferrofluid                                                     |           |          1 |         1 |         500 |     428 |       
  16670 | Crystalline Carbonide                                          |           |       0.05 |         1 |         499 |     429 |       
  16671 | Titanium Carbide                                               |           |       0.05 |         1 |         499 |     429 |       
   3949 | Medium Plasma Smartbomb II                                     |           |         10 |         1 |         383 |      72 |       
  17247 | Dread Guristas Electrum Tag                                    |           |        0.1 |         1 |         744 |     370 |       
  17248 | Dread Guristas Gold Tag                                        |           |        0.1 |         1 |         744 |     370 |       
  17261 | True Sansha Silver Tag                                         |           |        0.1 |         1 |         749 |     370 |       
   1855 | Ship Scanner II                                                |           |          5 |         1 |         713 |      48 |       
  28700 | Vermillion Mykoserocin                                         |           |         10 |         1 |         983 |     711 |       
  11258 | Energized Thermic Membrane I Blueprint                         |           |       0.01 |         1 |         333 |     163 |       
  11259 | Energized Thermic Membrane II                                  |           |          5 |         1 |         541 |     326 |       
  17354 | Superconductor Rails Blueprint                                 |           |          1 |         1 |         265 |     447 |       
   3808 | Prisoners                                                      |           |          1 |           |             |         |       
    606 | Velator                                                        |           |     100000 |           |             |         |       
  31117 | Small Cargohold Optimization I                                 |           |       0.01 |         1 |        1210 |     782 |       
  11567 | Avatar                                                         |           |  155000000 |         1 |         813 |      30 |       
  11568 | Avatar Blueprint                                               |           |       0.01 |         1 |         884 |     110 |       
  11569 | Armored Warfare Specialist                                     |           |       0.01 |         1 |         370 |     258 |       
  13254 | Hardwiring - Zainou 'Gypsy' KLB-50                             |           |          1 |         1 |        1153 |     740 |       
  11611 | Basic Heat Sink Blueprint                                      |           |      1e-05 |         1 |         343 |     218 |       
  11615 | Basic Tracking Enhancer Blueprint                              |           |      1e-05 |         1 |         322 |     344 |       
  11618 | Basic Co-Processor Blueprint                                   |           |      1e-05 |         1 |         322 |     346 |       
  14078 | True Sansha Energized Magnetic Membrane                        |           |        0.1 |           |             |         |       
  11633 | Basic Signal Amplifier Blueprint                               |           |      1e-05 |         1 |         322 |     347 |       
  11815 | Basic Gravimetric Backup Array Blueprint                       |           |      1e-05 |         1 |         322 |     347 |       
  11816 | Basic LADAR Backup Array Blueprint                             |           |      1e-05 |         1 |         322 |     347 |       
  11817 | Basic Magnetometric Backup Array Blueprint                     |           |      1e-05 |         1 |         322 |     347 |       
  11818 | Basic Multi Sensor Backup Array Blueprint                      |           |      1e-05 |         1 |         322 |     347 |       
  11819 | Basic RADAR Backup Array Blueprint                             |           |      1e-05 |         1 |         322 |     347 |       
  31125 | Medium Cargohold Optimization II                               |           |       0.01 |         1 |        1211 |     782 |       
  31652 | Medium Warhead Rigor Catalyst II                               |           |       0.01 |         1 |        1232 |     779 |       
  31784 | Medium Core Defence Charge Economizer II                       |           |       0.01 |         1 |        1235 |     774 |       
  31024 | Medium Anti-Kinetic Pump I Blueprint                           |           |       0.01 |         1 |        1204 |     787 |       
  31728 | Small Anti-Explosive Screen Reinforcer I                       |           |       0.01 |         1 |        1234 |     774 |       
  31754 | Medium Anti-Thermal Screen Reinforcer I                        |           |       0.01 |         1 |        1235 |     774 |       
  31565 | Medium Hybrid Locus Coordinator I Blueprint                    |           |       0.01 |         1 |        1259 |     787 |       
  31576 | Medium Hybrid Metastasis Adjuster I                            |           |       0.01 |         1 |        1229 |     776 |       
  16662 | Platinum Technite                                              |           |          1 |         1 |         500 |     428 |       
  16663 | Caesarium Cadmide                                              |           |          1 |         1 |         500 |     428 |       
  16694 | Large Beam Laser Battery                                       |           |       5000 |         1 |         596 |     430 |       
  17928 | Daredevil                                                      |           |       0.01 |           |             |         |       
  31586 | Small Bay Loading Accelerator I                                |           |       0.01 |         1 |        1231 |     779 |       
  17338 | Antimatter Reactor Unit Blueprint                              |           |          1 |         1 |         265 |     447 |       
  17339 | Plasma Pulse Generator Blueprint                               |           |          1 |         1 |         265 |     447 |       
  24736 | Amarr Graduation Certificate (signed)                          |           |       0.01 |           |             |         |       
  13978 | True Sansha Armor Kinetic Hardener                             |           |       0.01 |           |             |         |       
  13982 | True Sansha Armor Thermic Hardener                             |           |       0.01 |           |             |         |       
  14140 | True Sansha Cap Recharger                                      |           |       0.01 |           |             |         |       
  14072 | True Sansha Energized Adaptive Nano Membrane                   |           |       0.01 |           |             |         |       
  14084 | True Sansha Energized Reactive Membrane                        |           |       0.01 |           |             |         |       
  31587 | Small Bay Loading Accelerator I Blueprint                      |           |       0.01 |         1 |        1261 |     787 |       
  31588 | Medium Bay Loading Accelerator I                               |           |       0.01 |         1 |        1232 |     779 |       
  31589 | Medium Bay Loading Accelerator I Blueprint                     |           |       0.01 |         1 |        1262 |     787 |       
  31599 | Small Hydraulic Bay Thrusters I Blueprint                      |           |       0.01 |         1 |        1261 |     787 |       
  31601 | Medium Hydraulic Bay Thrusters I Blueprint                     |           |       0.01 |         1 |        1262 |     787 |       
  31609 | Small Rocket Fuel Cache Partition I Blueprint                  |           |       0.01 |         1 |        1261 |     787 |       
  31610 | Medium Rocket Fuel Cache Partition I                           |           |       0.01 |         1 |        1232 |     779 |       
  31611 | Medium Rocket Fuel Cache Partition I Blueprint                 |           |       0.01 |         1 |        1262 |     787 |       
